"filename", "language", "JavaScript", "TypeScript", "JSON", "Markdown", "HTML", "Vue", "SCSS", "comment", "blank", "total"
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\.VSCodeCounter\2021-12-03_16-27-49\details.md", "Markdown", 0, 0, 0, 67, 0, 0, 0, 0, 6, 73
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\.VSCodeCounter\2021-12-03_16-27-49\results.md", "Markdown", 0, 0, 0, 29, 0, 0, 0, 0, 7, 36
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\.eslintrc.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\@types\shims-vue.d.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 8, 17
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\index.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 1, 3, 24
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\jsconfig.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\package-lock.json", "JSON", 0, 0, 2994, 0, 0, 0, 0, 0, 1, 2995
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\package.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\App.vue", "Vue", 0, 0, 0, 0, 0, 41, 0, 0, 2, 43
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\AppState.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 1, 1, 23
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\StaticData.json", "JSON", 0, 0, 188, 0, 0, 0, 0, 0, 0, 188
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\assets\scss\_loaders.scss", "SCSS", 0, 0, 0, 0, 0, 0, 75, 0, 4, 79
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\assets\scss\_overrides.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days.client\src\assets\scss\_transitions.scss", "SCSS", 0, 0, 0, 0, 0, 0, 34, 5, 3, 42
