"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "SCSS", "TypeScript", "CSS", "comment", "blank", "total"
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\.VSCodeCounter\2021-12-03_16-28-04\details.md", "Markdown", 0, 78, 0, 0, 0, 0, 0, 0, 6, 84
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\.VSCodeCounter\2021-12-03_16-28-04\results.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 0, 7, 44
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\.eslintrc.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\Setup.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 9, 85
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\client\@types\Auth0Provider.d.ts", "TypeScript", 0, 0, 0, 0, 0, 49, 0, 19, 13, 81
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\client\@types\Axios.d.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 6, 33
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\client\app\AppState.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 2, 4, 30
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\client\app\Controllers\AuthController.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 9, 93
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\client\app\Controllers\SocketTestController.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\client\app\Controllers\ValuesController.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 4, 21
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\client\app\Models\Value.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\client\app\Services\AccountService.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\client\app\Services\AuthService.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 6, 4, 46
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\client\app\Services\AxiosService.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 2, 2, 10
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\client\app\Services\SocketService.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\source\codeworks\Good-Ol-Days\Good-Ol-Days\client\app\Services\ValuesService.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
